problem_description,question,answer,incorrect,is_ref
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","How will the meteor move?","The meteor will move with increasing speed due to the force applied. Newton's second law states tha force is equal to mass times acceleration so the meteor must be accelerating to have a force applied. Since a force is applied to an object at rest, the object will increase speed. Force is equal to mass times acceleration.","0","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","How will the meteor move?","The push from the rocket will make the meteor move with constant acceleration in the direction of the push.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given that the meteor starts at rest and then has a constant acceleration, what else can you say about the meteor's motion?","The speed is not changing.","2","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Can you articulate Newton's second law?","the net force acting on an object divided by its mass equals the resulting acceleration of that object","0","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Can you articulate Newton's second law?","Newton's second law says that net force equals mass times acceleration.","0","1"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","Can you articulate Newton's first law?","an object at rest will remain at rest unless acted upon by a net outside force","1","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","Can you articulate Newton's first law?","An object at rest will stay at rest and at object moving with constant velocity in a straight line will continue moving with constant velocity in a straight line as long as the net force acting on the object is zero.","0","1"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","Because the ball's velocity is upward while the ball is moving upward and its acceleration is downward, what is happening to the ball's velocity?","its decreasing","0","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","Can you articulate Newton's first law?","Newton's first law states that any object in rest or in motion will remain in rest or in motion unless an external force is given","1","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","Can you articulate Newton's first law?","If all the forces acting on an object add up to zero (accounting for the direction of the forces and not just their magnitude) then the acceleration of that object also has to be zero. It can move at a constant speed but it cannot be accelerating.","0","1"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","Based on Newton's first law, what can you say about the trajectory and speed of the puck?","The tragectory and speed of the puck should be constant.","1","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","Based on Newton's first law, what can you say about the trajectory and speed of the puck?","Puck moves in a straight line with a constant speed.","0","1"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What forces are acting on the puck while the puck is moving on the ice between the two players? Describe the motion of the puck.","the puck moves because of the force of hitting the puck with the hockey stick","3","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What forces are acting on the puck while the puck is moving on the ice between the two players? Describe the motion of the puck.","The forces acting on the puck are the downward force of gravity and the upward normal force from the ice. The puck will move in a straight line with a constant speed.","0","1"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","What can you say about the net force on the kid?","The forces on the kid balance eachother.","0","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","What can you say about the net force on the kid?","Gravity and tension are balanced.","0","1"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","the forces acting on the box are, gravitational force, normal force, kinetic frictional force, and a force appliesd from the person","1","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","The forces are mover on box, friction from floor on box, the gravity from earth on box, and the normal from floor on box. The force of the mover pushing and the force of friction balance each other.","0","1"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the speed of the desk? Explain why.","The velocity will not be constant anymore.","1","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the speed of the desk? Explain why.","The desk moves with increasing velocity.","0","1"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","the tension in the rope is greater than the downward force of gravity","2","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","The amount of tension in the rope is equal to the magnitude of the downward force of gravity.","0","1"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","The forces are the force of the mover pushing on the box, the force of friction from the floor on the box, the gravitational force from the earth on the box, and the normal force from the floor on the box. The normal force and the gravitational force balance each other.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given that the meteor starts at rest and then has a constant acceleration, what else can you say about the meteor's motion?","The meteor's motion is constant.","3","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given that the meteor starts at rest and then has a constant acceleration, what else can you say about the meteor's motion?","The meteor's speed will increase.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given the non-zero net force acting on the meteor, what does Newton's second law say about the acceleration of the meteor?","equal to the net force divided by the mass","0","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given the non-zero net force acting on the meteor, what does Newton's second law say about the acceleration of the meteor?","According to Newton's second law, the push from the rocket will make the meteor move with constant acceleration in the direction of the force.","0","1"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","THERE IS A PUSHING FORCE, THE FORCE OF GRAVITY, A NORMAL FORCE AND A FORCE OF FRICTION","1","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","The forces are mover on box, friction from floor on box, the gravity from earth on box, and the normal from floor on box. The normal force and the gravitational force balance each other.","0","1"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","How will the meteor move after the rocket stops pushing?","The meteor will began to slow down as soon as the rocket stops pushing it because there are no more forces acting upon the meteor.","2","0"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","How will the meteor move after the rocket stops pushing?","When the rocket stops pushing, the meteor will move with constant velocity in a straight line.","0","1"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","The acceleration at this point is at its highest point, and the forces acting on it are gravity and the normal forces from the floor that is pushing the ball back up to the player's hand.","3","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","The only force acting on the ball is the downward force of gravity. Since the ball's velocity is upward and its acceleration is downward, the ball is slowing down.","0","1"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What are the forces acting on the puck while it is between the players?","Gravity and the normal force of ice pushing up on the puck","0","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What are the forces acting on the puck while it is between the players?","The forces acting on the puck while it is between the players are the downward force of gravity and the upward normal force from the ice.","0","1"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the speed of the desk?","the desk will increase in velocity and direction, oh yeah!","3","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the speed of the desk?","The desk will move with constant acceleration and the speed will increase.","0","1"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","There is the force of gravity and the force applied from the player's hand. The motion of the ball is upward.","2","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What can you say about the net horizontal force on the puck while moving on the ice between the players?","the force applied by the platers minus the kinetic frictional force","3","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What can you say about the net horizontal force on the puck while moving on the ice between the players?","Since there are no forces acting on the puck in the horizontal direction, the net horizontal force is zero.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given that the meteor starts at rest and then has a constant acceleration, what else can you say about the meteor's motion?","The speed of the meteor will increase.","0","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","This is newtons second law","3","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","The force of gravity and tension in the rope balance.","0","1"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","The tension in the rope is greater than the downward force of gravity.","3","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","Force from the mover acts on the box in a positive direction while the frictional force caused by the floor acts in the opposite direction. Natural force from the carpet balances the gravitational force of the box vertically since there is no acceleration in the vertically.","1","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","The forces are mover on box, friction from floor on box, the gravity from earth on box, and the normal from floor on box. The normal force from the floor on the box balances the gravitational force from the earth on the box.","0","1"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","What can you say about the net force on the kid?","Equal to zero","0","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the speed of the desk?","The speed of the desk will increase but no neccesarily double","0","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the speed of the desk?","The desk moves with increasing velocity.","0","1"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","What can you say about the net force on the kid?","it equals zero","0","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","What can you say about the net force on the kid?","All forces balance.","0","1"
"While speeding up, a large truck pushes a small compact car.","How does Newton's third law apply to this situation?","the forces balance out each other","1","0"
"While speeding up, a large truck pushes a small compact car.","How does Newton's third law apply to this situation?","The force from the truck and the force from the car are form action reaction pair.","0","1"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","Graviational force is acting on the ball and its speed is decreasing at a constant rate.","0","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","Gravity is the only force acting on the ball. The ball's velocity is decreasing.","0","1"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","MOVER APPLIES GREADER FORCE TO THE OBJECT THAN THE OPPOSING FORCE OF FRICTION. nORMAL FORCE AND FORCE OF GRAVITY ARE ZERO","3","0"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","How will the meteor move after the rocket stops pushing?","After the rocket stops pushing the meteor, the meteor will continue to move with the same horizontal velocity that the rocket was pushing it with. This is because the only force that is acting on the meteor is the force coming from the push of the rocket. Newtons first law states that the object will continue unless another force acts on it to stop the object or to change its direction. Since there are no other forces, the meteor will continue to move in the same direction as the rockets force.","0","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What does Newton's second law tell you about the direction of the ball's acceleration?","IF NO OUTSIDE FORCES ARE APPLIED, BALL CONTINUES TO TRAVEL AT CONSTANT ACCELERATION","3","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What can you say about the net horizontal force on the puck while moving on the ice between the players?","IT IS AT A CONSTANT VELOCITY","3","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What can you say about the net horizontal force on the puck while moving on the ice between the players?","The net horizontal force is zero.","0","1"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box?","The forces acting on the box is the horizontal friction from the box against the carpet and the horizontal push exerted from the mover.","1","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box?","The forces are mover on box, friction from floor on box, the gravity from earth on box, and the normal from floor on box.","0","1"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","How will the meteor move after the rocket stops pushing?","the rocket will move at constant velocity!!!","3","0"
"A car windshield collides with a mosquito, squashing it.","How do the amounts of the force exerted on the windshield by the mosquito and the force exerted on the mosquito by the windshield compare?","The ammount of force put on the bug by the windshield is the same as the force exerted on the winshield by the bug. However, because the bug has much less mass, the bug stops more suddenly and is squashed. This is defined in both of Newton's first and second laws of motion.","0","0"
"A car windshield collides with a mosquito, squashing it.","How do the amounts of the force exerted on the windshield by the mosquito and the force exerted on the mosquito by the windshield compare?","The amounts of the action and reaction forces are equal.","0","1"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","Because the ball's velocity is upward while the ball is moving upward and its acceleration is downward, what is happening to the ball's velocity?","the ball's velocity is decreasing","0","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","Because the ball's velocity is upward while the ball is moving upward and its acceleration is downward, what is happening to the ball's velocity?","Since the ball's acceleration is in the opposite direction of it's velocity, the ball's velocity is decreasing.","0","1"
"While speeding up, a large truck pushes a small compact car.","How do the magnitudes, or amounts, of the forces they exert on each other compare?","The magnitudes of the forces they exert on each other will be equal","1","0"
"While speeding up, a large truck pushes a small compact car.","How do the magnitudes, or amounts, of the forces they exert on each other compare?","The force from the truck and the force from the car are equal and opposite.","0","1"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","the basketball is in free fall, therefore the only force acting on it is the gravitational force","1","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","Gravity is the only force acting on the ball. The ball is slowing down at a constant rate.","0","1"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","The forces that are acting on the box in the horizontal direction are the applied force and frictional force.","1","0"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","How will the meteor move after the rocket stops pushing?","It will continue to move in the same direction with a constant velocity","0","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","The tension force and gravity force are equal because the child moves at a constant speed. Therefore acceleration is 0 and net force is 0 so the forces must balance.","0","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","push, friction, gravity, normal. The normal force from the floor on the box balances the gravitational force from the earth on the box.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given the non-zero net force acting on the meteor, what does Newton's second law say about the acceleration of the meteor?","it is in the same direction as the push","1","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given the non-zero net force acting on the meteor, what does Newton's second law say about the acceleration of the meteor?","The push from the rocket will make the meteor move with constant acceleration.","0","1"
"While speeding up, a large truck pushes a small compact car.","How do the magnitudes, or amounts, of the forces they exert on each other compare?","The truck exerts a greater force than the small car while speeding up.","2","0"
"While speeding up, a large truck pushes a small compact car.","How do the magnitudes, or amounts, of the forces they exert on each other compare?","The forces exerted by the truck and car are equal and opposite.","0","1"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","Which horizontal forces acting on the box balance each other?","none","3","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","the normal force, frictional force, gravitational force","1","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","The forces are the force of the mover pushing on the box, the force of friction from the floor on the box, the gravitational force from the earth on the box, and the normal force from the floor on the box. The normal force from the floor on the box balances the gravitational force from the earth on the box.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Can you articulate Newton's second law?","Newton's 2nd Law says that the net force is equal to the product of the mass and the acceleration.","0","1"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What forces are acting on the puck while the puck is moving on the ice between the two players? Describe the motion of the puck.","The normal force coming from the ice and the gravitational force. The velocity of the puck is constant because there are no counteracting forces acting on the puck. As stated by the first law of Newton, an object will maintain its state of motion unless acted upon by a force.","0","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","Normal force and gravitational force are acting on the object.","3","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","Gravity is the only force acting on the ball. The ball is slowing down.","0","1"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","Because the net force on the desk was zero before the mover doubled his force, what can you say about the relative magnitude of the mover's push and the opposing force of friction acting on the desk?","the friction is opposing his pushing force, but it is less than the net force","3","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","Because the ball's velocity is upward while the ball is moving upward and its acceleration is downward, what is happening to the ball's velocity?","it is decreasing.","0","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","Because the ball's velocity is upward while the ball is moving upward and its acceleration is downward, what is happening to the ball's velocity?","Since the ball's velocity is upward and its acceleration is downward, the ball is slowing down.","0","1"
"While speeding up, a large truck pushes a small compact car.","How do the magnitudes, or amounts, of the forces they exert on each other compare?","the car and truck, according to newtons second law, exert equal and opposite forces on one another. The magnitude of the force exerted by the truck is equal to the force exerted by the car. The amount of force exerted by the truck however, is greater than the amount of force exerted by the car.","1","0"
"While speeding up, a large truck pushes a small compact car.","How do the magnitudes, or amounts, of the forces they exert on each other compare?","The force from the car on the truck and the force from the truck on the car are a Third Law pair. Thus, the forces are equal in magnitude and opposite in direction.","0","1"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","gravity","1","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","How will the meteor move?","The meteor will move at a constant velocity","2","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","they are the same","0","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box?","The force from the man pushing it and the frictional force from the carpet","1","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box?","push, friction, gravity, normal","0","1"
"While speeding up, a large truck pushes a small compact car.","How does Newton's third law apply to this situation?","The law states for every action there is an equal and opposite reaction.","0","0"
"While speeding up, a large truck pushes a small compact car.","How does Newton's third law apply to this situation?","The force from the car on the truck and the force from the truck on the car are a Third Law pair. Thus, the forces are equal in magnitude and opposite in direction.","0","1"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the speed of the desk? Explain why.","THe speed of the desk will double since the mover has doubled the force.","2","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","The only force acting on the ball is the downward force of gravity. The ball is slowing down at a constant rate.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Can you articulate Newton's second law?","The net force equals mass times acceleration","0","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Can you articulate Newton's second law?","The sum of all the forces acting on an object, divided by its mass is equivalent to the acceleration of that object","0","1"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","the amount of tension is equal to the downward force of gravity","0","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","How will the meteor move?","the meteor will move in response to the rockets push","3","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","Based on Newton's first law, what can you say about the trajectory and speed of the puck?","it will be a constant speed","1","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","There is the force of gravity, the normal force, the mover's force, and the force of friction. Gravity and the normal force balance each other.","0","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Can you articulate Newton's second law?","force equals mass times accerleration","1","0"
"A car windshield collides with a mosquito, squashing it.","Can you articulate a principle or definition which justifies your answer?","For every action, there is an equal and opposite reaction.","0","1"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","Which other Newton law is relevant now given that we established that there is a non-zero net force on the desk after the mover doubles his force?","Newton's second law would be relevant.","0","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","Which other Newton law is relevant now given that we established that there is a non-zero net force on the desk after the mover doubles his force?","Newton's second law applies as there is a non-zero net force.","0","1"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","How will the meteor move after the rocket stops pushing?","The meteor's velocity will decrease.","2","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","The forces acting on the box are the weight of the box, the normal force of the carpeted floor pushing against the box, the frictional force of the carpet against the box, and the force of the push by the mover","1","0"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","Can you name which of Newton's laws is relevant to this problem and why?","Newton's first law is relevant.","1","0"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","Can you name which of Newton's laws is relevant to this problem and why?","The first law is relevant because the problem asks about motion when no forces (that is, zero net force) are acting on an object.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Given the non-zero net force acting on the meteor, what does Newton's second law say about the acceleration of the meteor?","there is a non-zero net force, which is the push from the rocket being applied on the meteor","3","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","What forces are acting on the puck while the puck is moving on the ice between the two players? Describe the motion of the puck.","There is a normal force acting on the puck and a force of the pucks weight acting on the puck. These balance eachother out due to Newton's first law of motion. There is also the force of the hockey stick pushing the puck.","0","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","the tension in the rope is greater than gravity in order to raise the child upwards","2","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","Since the child is being raised straight upward at a constant speed, the net force on the child is zero and all the forces balance. That means that the tension in the rope balances the downward force of gravity.","0","1"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","Can you name which of Newton's laws is relevant to this problem and why?","It refers to newton's first law which states that an object at rest will remain at rest unless acted on by an outside force and an object in motion will remain in motion unless acted on by an outside force.","0","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the acceleration of the desk and its speed given a non-zero net force acting on it, after the mover doubles his push?","the acceleration of the desk will double after the mover doubles his push","3","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","What can you say about the acceleration of the desk and its speed given a non-zero net force acting on it, after the mover doubles his push?","The desk increases its speed as the net force is non-zero.","0","1"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","How will the meteor move after the rocket stops pushing?","The meteor will move with a constant velocity until another force is acted upon it.","1","0"
"A mover pushes a desk with a horizontal force such that the desk moves with constant velocity v0 across a carpeted floor. Suddenly, the mover doubles his force.","Because the net force on the desk was zero before the mover doubled his force, what can you say about the relative magnitude of the mover's push and the opposing force of friction acting on the desk?","They were equal in magnitude but opposite in direction.","0","0"
"A car windshield collides with a mosquito, squashing it.","How does Newton's third law apply to this situation?","idk","3","0"
"A car windshield collides with a mosquito, squashing it.","How does Newton's third law apply to this situation?","The force exerted by the windshield on the mosquito and the force exerted by the mosquito on the windshield are a third-law pair of action and reaction.","0","1"
